palavras
a
à
ai
agora
ainda
alguém
algum
alguma
algumas
alguns
ampla
amplas
amplo
amplos
ante
antes
ao
aos
após
aquela
aquelas
aquele
aqueles
aquilo
as
até
através
cada
coisa
coisas
com
como
contra
contudo
da
daquele
daqueles
das
de
dela
delas
dele
deles
depois
dessa
dessas
desse
desses
desta
destas
deste
deste
destes
deve
devem
devendo
dever
deverá
deverão
deveria
deveriam
devia
deviam
disse
disso
disto
dito
diz
dizem
do
dos
e
é
e'
ela
elas
ele
eles
em
enquanto
entre
era
essa
essas
esse
esses
esta
está
estamos
estão
estas
estava
estavam
estávamos
este
estes
tô
estou
eu
fazendo
fazer
feita
feitas
feito
feitos
foi
for
foram
fosse
fossem
grande
grandes
há
isso
isto
já
la
la
lá
lhe
lhes
lo
mas
me
mesma
mesmas
mesmo
mesmos
meu
meus
minha
minhas
muita
muitas
muito
muitos
n
na
nao
não
nas
nem
nenhum
nessa
nessas
nesta
nestas
ninguém
no
nos
nós
nossa
nossas
nosso
nossos
num
numa
nunca
o
oq
o que
os
ou
outra
outras
outro
outros
p
para
pela
pelas
pelo
pelos
pequena
pequenas
pequeno
pequenos
per
perante
pode
pôde
podendo
poder
poderia
poderiam
podia
podiam
pois
por
porém
porque
posso
pouca
poucas
pouco
poucos
pra
primeiro
primeiros
própria
próprias
próprio
próprios
q
quais
qual
quando
quanto
quantos
que
quem
rt
são
se
seja
sejam
sem
sempre
sendo
será
serão
seu
seus
si
sido
só
sob
sobre
sua
suas
ta
tá
talvez
também
tampouco
te
tem
tendo
tenha
ter
teu
teus
ti
tido
tinha
tinham
to
toda
todas
todavia
todo
todos
tu
tua
tuas
tudo
última
últimas
último
últimos
um
uma
umas
uns
vendo
ver
vez
vindo
vir
você
vc
vcs
voce
vos
vós
tá
oq
pro
n
vc
vcs
pq
so
